MarketId,Slug,Question,EndDate,Active,Closed,Archived,ResolvedOutcome,Volume,Liquidity,Volume24hr,Year,YesTokenId,NoTokenId
1654956,will-the-fed-decrease-interest-rates-by-50-bps-after-the-july-2026-meeting,Will the Fed decrease interest rates by 50+ bps after the July 2026 meeting?,2026-07-29T00:00:00Z,True,False,False,,511672.6034170014,154848.11351,6444.876931,2026,34352156398446436078106018571351437965469399998092625112032289774684767742814,81718924566344342339932153243056822500865643754622838691875214933560980686588
1654957,will-the-fed-decrease-interest-rates-by-25-bps-after-the-july-2026-meeting,Will the Fed decrease interest rates by 25 bps after the July 2026 meeting?,2026-07-29T00:00:00Z,True,False,False,,398361.23360099527,85739.20183,4730.283237999999,2026,107111506004559425167535337910569809007100298896139468418632748246491535011700,90713175285238837229141362456380660699457701142142655731293716395090014512187
1654958,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,Will there be no change in Fed interest rates after the July 2026 meeting?,2026-07-29T00:00:00Z,True,False,False,,622501.1733799988,207309.6675,6397.657298,2026,111604417349377875799825956621596386269673370070912696668140891647145772186047,36015050921127306245266044699797268780268172446856063291868548314968920497494
1654959,will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,Will the Fed increase interest rates by 25 bps after the July 2026 meeting?,2026-07-29T00:00:00Z,True,False,False,,3363899.0624740566,111547.92065,8527.555051,2026,10547381015916960267379463101229159185405356924982461726471550099674011526491,102979714187432523726496609637889951679226430871494531752837414533106422105296
1654960,will-the-fed-increase-interest-rates-by-50-bps-after-the-july-2026-meeting,Will the Fed increase interest rates by 50+ bps after the July 2026 meeting?,2026-07-29T00:00:00Z,True,False,False,,466565.6436520035,177295.6818,14911.700499999999,2026,55547507942649396203839937021705347989082320770224485499197798791654376614809,82752177927542167404038816431416174971863195141383694610771473564093425601859
1795635,will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-july-decision,Will the Bank of Israel decrease the Bank of Israel Interest Rate after the July decision?,2026-07-06T00:00:00Z,True,False,False,,300.450801,682.5109,,2026,14494641868403342971826171160752889523045712451545672622972211655313354980869,9649343468972837258595658661010195813616876131083501381120715569123792667835
1795636,will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-july-decision,Will the Bank of Israel make no change to the Bank of Israel Interest Rate after the July decision?,2026-07-06T00:00:00Z,True,False,False,,350.91684499999997,656.3247,,2026,7226947243124885998219649792259808976633199212206537643597189157230991692092,53439222684760096035932384097687333312401582606657934053451470997934414278034
1795637,will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-july-decision,Will the Bank of Israel increase the Bank of Israel Interest Rate after the July decision?,2026-07-06T00:00:00Z,True,False,False,,235.667348,2831.59029,,2026,14600074016700385940300308175656291971916381097057253684826533726646629604327,65479415418564274348070095587774873004139506799308481466566519442858632655023
1808545,fed-rate-hike-by-june-2026-meeting,Fed Rate Hike by June 2026 Meeting?,2026-12-09T00:00:00Z,True,False,False,,14530.606496000002,24958.76311,,2026,41368336278492696682451855437456813178948739813696264600804053445390061872428,42876902193960629349558519238610908171948017678636900323114432638236001458635
1808546,fed-rate-hike-by-july-2026-meeting,Fed Rate Hike by July 2026 Meeting?,2026-12-09T00:00:00Z,True,False,False,,770.3496069999999,15179.0312,,2026,44805157856729475543761918918614273394865032511345958532719893352163987391326,78972373375857605074642782363803684526278878612098939110101561206548783513607
1808547,fed-rate-hike-by-september-2026-meeting,Fed Rate Hike by September 2026 Meeting?,2026-12-09T00:00:00Z,True,False,False,,54.156481,9528.9829,,2026,85779851379341776458330036851548114381176093953202542863538086591922931585951,107877692735091739444466304420480554317180662238363602253619698629369023430230
1808548,fed-rate-hike-by-october-2026-meeting,Fed Rate Hike by October 2026 Meeting?,2026-12-09T00:00:00Z,True,False,False,,1468.856617,10543.037,14.570237,2026,55971470416346250683160735704399570247011109335331406752116975462530324793173,25962953645542704786103858182513234105684194966003467694572592749863651189160
